Gameweek,Mohamed Salah,Alexander Isak,Erling Haaland,Chris Wood,Bryan Mbeumo,Yoane Wissa,Ollie Watkins,Matheus Cunha,Cole Palmer,Jorgen Strand-Larsen
1,1,0,1,1,1,1,0,0,0,0
2,2,0,4,1,1,1,0,1,1,1
3,3,1,7,2,3,2,0,1,1,1
4,3,1,9,2,3,3,2,1,1,1
5,3,1,10,3,4,3,3,2,2,1
6,4,1,10,3,5,3,4,2,6,1
7,4,1,10,4,6,3,4,3,6,2
8,5,1,10,5,6,3,5,3,6,3
9,6,2,11,7,8,4,5,4,7,3
10,7,3,11,8,8,4,5,4,7,4
11,8,4,12,8,8,6,5,5,7,4
12,10,4,12,8,8,6,6,7,7,4
13,11,4,12,9,8,7,6,7,8,6
14,13,5,12,9,8,7,7,7,9,6
15,13,6,13,10,9,8,7,7,11,6
16,15,7,13,10,10,8,7,8,11,6
17,16,10,13,10,10,8,7,9,11,6
18,17,11,13,10,10,8,7,10,12,6
19,18,12,14,11,11,8,8,10,12,7
20,18,13,16,12,13,9,8,10,13,7
21,18,15,16,13,13,10,9,10,14,7
22,19,15,17,14,13,10,10,10,14,7
23,21,17,18,14,14,10,10,10,14,7
24,22,17,19,17,14,10,10,11,14,7
25,23,17,19,18,14,10,11,12,14,7
26,24,19,19,18,15,11,12,13,14,7
27,25,19,20,18,15,12,12,13,14,7
28,25,19,20,18,15,12,12,13,14,7
29,27,20,21,18,15,13,13,13,14,9
30,27,20,21,18,16,13,13,13,14,10
31,27,20,21,18,16,13,13,13,14,11
32,27,21,21,18,16,14,14,14,14,12
33,27,21,21,19,18,15,15,14,14,12
34,28,22,21,19,18,16,15,15,14,13
35,28,23,21,19,18,17,15,15,15,13
36,28,23,21,20,18,17,16,15,15,13
37,28,23,21,20,19,18,16,15,15,14
38,29,23,22,20,20,18,16,15,15,14
